Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Number of oviposition sites,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Strength of territoriality (strong vs weak),Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition substrate,Habitat breadth,Agonistic display,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Male wing pigment,Female wing pigment,Sexual wing dichromatism,Male or female biased sexual wing dichromatism,Male dark score,Female dark score,Mean annual temperature,Female has wing pigment (waller 2019),Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source males,Original source females,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Oxygastra curtisii,Oxygastra_curtisii,Oxygastra_curtisii,,,Yes,Exophytic,,,,,,,,,River,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Libellula quadrimaculata,Libellula_quadrimaculata,Libellula_quadrimaculata,,,Yes,Exophytic,,Non-contact,,,,,"Pool, Pond, Lake",Medium,,Lentic,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Libellula fulva,Libellula_fulva,Libellula_fulva,,,Yes,Exophytic,,Non-contact,,,,,,,River,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Libellula depressa,Libellula_depressa,Libellula_depressa,,,Yes,Exophytic,Percher,,,,,,"Pond, Lake",Large,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Orthetrum cancellatum,Orthetrum_cancellatum,Orthetrum_cancellatum,,,Yes,Exophytic,Percher,,,,,,"Pond, Lake",Large,River,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Sympetrum striolatum,Sympetrum_striolatum,Sympetrum_striolatum,,,Yes,Exophytic,Percher,,,,Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Sympetrum danae,Sympetrum_danae,Sympetrum_danae,,,Yes,Exophytic,,,,,,,"Pool, Lake, Pond",Medium,,Lentic,,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Leucorrhinia dubia,Leucorrhinia_dubia,Leucorrhinia_dubia,,,Yes,Exophytic,,,,,Alone,,Pool,Small,,,,,,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Lestes barbarus,Lestes_barbarus,Lestes_barbarus,,,,Endophytic,,,,,,,Pond,Medium,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Sympecma fusca,Sympecma_fusca,Sympecma_fusca,,,,,,,,,,,"Pond, Lake",Large,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Crocothemis erythraea,Crocothemis_erythraea,Crocothemis_erythraea,,,,,,,,,,,Pond,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Sympetrum meridionale,Sympetrum_meridionale,Sympetrum_meridionale,,,,,,,,,,,"Pond, Lake",Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Lestes viridis,Lestes_viridis,Lestes_viridis,,,Yes,,,,,,,,Pond,Medium,"Stream, River",Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Aeshna affinis,Aeshna_affinis,Aeshna_affinis,,,,,,,,,,,Pond,Medium,,Lentic,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Gomphus flavipes,Gomphus_flavipes,Gomphus_flavipes,,,,,,,,,,,,,River,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Aeshna cyanea,Aeshna_cyanea,Aeshna_cyanea,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hammond, 1985)",,,,,,,,,,,,,,,
Aeshna grandis,Aeshna_grandis,Aeshna_grandis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hammond, 1985)",,,,,,,,,,,,,,,
Libellula depressa,Libellula_depressa,Libellula_depressa,,,Yes,,Percher,,,,,,,,,,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hammond, 1985)",,,,,,,,,,,,,,,
Libellula fulva,Libellula_fulva,Libellula_fulva,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hammond, 1985)",,,,,,,,,,,,,,,
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hammond, 1985)",,,,,,,,,,,,,,,
Rhinocypha perforata,Rhinocypha_perforata,Rhinocypha_perforata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Ophiogomphus edmundo,Ophiogomphus_edmundo,Ophiogomphus_edmundo,,,,Exophytic,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Plathemis lydia,Plathemis_lydia,Plathemis_lydia,,,,,,Non-contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Sympetrum illotum,Sympetrum_illotum,Sympetrum_illotum,,,,,,Contact,,,Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Archilestes grandis,Archilestes_grandis,Archilestes_grandis,,,,Endophytic,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Neurobasis chinensis,Neurobasis_chinensis,Neurobasis_chinensis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Dysphaea dimidiata,Dysphaea_dimidiata,Dysphaea_Dimidiata,,,,,Percher,,,,Alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Onychogomphus uncatus,Onychogomphus_uncatus,Onychogomphus_uncatus,,,No,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Erythemis simplicicollis,Erythemis_simplicicollis,Erythemis_simplicicollis,,,,,,,,Single,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Palpopleura lucia,Palpopleura_lucia,Palpopleura_lucia,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Palpopleura portia,Palpopleura_portia,Palpopleura_portia,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Uracis fastigiata,Uracis_fastigiata,Uracis_fastigiata,,,Yes,,,,,,,,"Pool, Puddle",Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Palaemnema domina,Palaemnema_domina,Palaemnema_domina,,,,,,Non-contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Platycypha caligata,Platycypha_caligata,Platycypha_caligata,,,Yes,,Percher,,,,Alone,,,,River,Lotic,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Thaumatoneura inopinata,Thaumatoneura_inopinata,Thaumatoneura_inopinata,,,,,,,,,,,,,,,,,Yes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Perithemis tenera,Perithemis_tenera,Perithemis_tenera,,,Yes,Exophytic,,Non-contact,,Single,,,Pond,Medium,,Lentic,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Chlorolestes fasciatus,Chlorolestes_fasciatus,Chlorolestes_fasciatus,,,Yes,,,,,,,,,,,,,Strong,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Miocora semiopaca,Miocora_semiopaca,Miocora_semiopaca,,,,,,,,,,,,,,,,,Yes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Nannophya pygamaea,Nannophya_pygmaea,Nannophya_pygmaea,,,Yes,,,,,,,,,,,,,,,,,,1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Tamea lacerata,Tramea_lacerata,Tramea_lacerata,,,Yes,,,,,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,,,,,,,,,,,,
Sympetrum fonscolombii,Sympetrum_fonscolombii,Sympetrum_fonscolombii,,,,,,,,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thornton and Switzer 2015,"(Schenk et al., 2004)",,,,,,,,,,,,,,
Pantala flavescens,Pantala_flavescens,Pantala_flavescens,,,,,,,,Multiple,,,Pond,Medium,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thornton and Switzer 2015,"(Schenk et al., 2004)",,,,,,,,,,,,,,
Anax amazili,Anax_amazili,Anax_amazili,,,,,,,,Multiple,,Temporary,Pond,Medium,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Anax junius,Anax_junius,Anax_junius,,,,,,,,,Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Anax walsinghami,Anax_walsinghami,Anax_walsinghami,,,Yes,,,,,,Alone,,,,,,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Coryphaeschna ingens,Coryphaeschna_ingens,Coryphaeschna_ingens,,,No,,Flier,,,,,,"Pond, Lake",Large,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Epiaeschna heros,Epiaeschna_heros,Epiaeschna_heros,,,No,,,,,,Alone,,Puddle,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Gomphaeschna furcillata,Gomphaeschna_furcillata,Gomphaeschna_furcillata,,,Yes,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Macromia annulata,Macromia_annulata,Macromia_annulata,,,,,,,,Multiple,Alone,,,,River,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Helocordulia selysii,Helocordulia_selysii,Helocordulia_selysii,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Neurocordulia alabamensis,Neurocordulia_alabamensis,Neurocordulia_alabamensis,,,,,,,,,,,Pool,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Neurocordulia molesta,Neurocordulia_molesta,Neurocordulia_molesta,,,,Exophytic,,,,Multiple,Alone,,,,River,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Neurocordulia xanthosoma,Neurocordulia_xanthosoma,Neurocordulia_xanthosoma,,,,Exophytic,,No,,Multiple,Alone,,,,"River, Stream",Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Brechmorhoga mendax,Brechmorhoga_mendax,Brechmorhoga_mendax,,,Yes,Exophytic,,,,,,,,,"Stream, River",Lotic,,,,,,,1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Celithemis elisa,Celithemis_elisa,Celithemis_elisa,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Dythemis velox,Dythemis_velox,Dythemis_velox,,,Yes,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Drythemis maya,Drythemis_maya,Drythemis_maya,,,Yes,,,,,,,,,,,,,,,,,,10m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Erythemis attala,Erythemis_attala,Erythemis_attala,,,Yes,,,,,,,,,,,,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Erythrodiplax fervida,Erythrodiplax_fervida,Erythrodiplax_fervida,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Erythrodiplax basifusca,Erythrodiplax_basifusca,Erythrodiplax_basifusca,,,Yes,,Percher,,,,,,,,,,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Erythrodiplax fusca,Erythrodiplax_fusca,Erythrodiplax_fusca,,,Yes,,,Non-contact,,,Alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Erythrodiplax minuscula,Erythrodiplax_minuscula,Erythrodiplax_minuscula,,,Yes,,,Non-contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Libellula auripennis,Libellula_auripennis,Libellula_auripennis,,,Yes,Exophytic,,Non-contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Libellula composita,Libellula_composita,Libellula_composita,,,,Exophytic,,Contact,,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Libellula flavida,Libellula_flavida,Libellula_flavida,,,Yes,Exophytic,,Non-contact,,Single,,,,,,,,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Libellula croceipennis,Libellula_croceipennis,Libellula_croceipennis,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Libellula luctuosa,Libellula_luctuosa,Libellula_luctuosa,,,Yes,Exophytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Libellula pulchella,Libellula_pulchella,Libellula_pulchella,,,Yes,Exophytic,,No,,,Alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Libellula semifasciata,Libellula_semifasciata,Libellula_semifasciata,,,Yes,Exophytic,,Non-contact,,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Miathyria marcella,Miathyria_marcella,Miathyria_marcella,,,Yes,,Flier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Orthemis discolor,Orthemis_discolor,Orthemis_discolor,,,Yes,Exophytic,,Non-contact,,,,,,,,,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Orthemis ferruginea,Orthemis_ferruginea,Orthemis_ferruginea,,,Yes,,,,,,,,,,,,,Strong,,,,,10m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Paltothemis lineatipes,Paltothemis_lineatipes,Paltothemis_lineatipes,,,Yes,Exophytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Pantala flavescens,Pantala_flavescens,Pantala_flavescens,,,Yes,,Flier,,,,,Temporary,"Pool, Pond",Small,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Pantala hymenaea,Pantala_hymenaea,Pantala_hymenaea,,,Yes,Exophytic,Flier,,,,,Temporary,Pond,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Perithemis domitia,Perithemis_domitia,Perithemis_domitia,,,Yes,,,,,,,,,,,,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Perithemis tenera,Perithemis_tenera,Perithemis_tenera,,,Yes,Exophytic,,,,Single,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Planiplax sanguiniventris,Planiplax_sanguiniventris,Planiplax_sanguiniventris,,,Yes,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Pseudoleon superbus,Pseudoleon_superbus,Pseudoleon_superbus,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Sympetrum illotum,Sympetrum_illotum,Sympetrum_illotum,,,,,Percher,Contact,,,Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Sympetrum ambiguum,Sympetrum_ambiguum,Sympetrum_ambiguum,,,,,,,,,,Temporary,"Pond, Pool",Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Sympetrum internum,Sympetrum_internum,Sympetrum_internum,,,Yes,,,,,,,Temporary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Sympetrum pallipes,Sympetrum_pallipes,Sympetrum_pallipes,,,Yes,,,Contact,,,Tandem,Temporary,Pond,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Tauriphila azteca,Tauriphila_azteca,Tauriphila_azteca,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Tramea carolina,Tramea_carolina,Tramea_carolina,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Tramea onusta,Tramea_onusta,Tramea_onusta,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,,,,,,,,,,,,
Tachopteryx thoreyi,Tachopteryx_thoreyi,Tachopteryx_thoreyi,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,,,,,,,,,,,,
Tanypteryx hageni,Tanypteryx_hageni,Tanypteryx_hageni,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,,,,,,,,,,,,
Anax junius,Anax_junius,Anax_junius,,,Yes,,,Contact,,,Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,,,,,,,,,,,,
Coryphaeschna ingens,Coryphaeschna_ingens,Coryphaeschna_ingens,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,,,,,,,,,,,,
