Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Sympetrum rubicundulum ,Sympetrum_rubicundulum,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(van Buskirk, 1986)",,,
Tetrathemis camerunensis ,Tetrathemis_camerunensis ,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Lempert, 1988)",,,
Tetrathemis polleni,Tetrathemis_polleni,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(McCrae & Corbet, 1982)",,,
Tholymis tillarga,Tholymis_tillarga,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Mitra, 1994)",,,
Tramea lacerata,Tramea_lacerata,Yes,,Flier,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(D. Paulson, 2009)",,,
Tramea transmarina,Tramea_transmarina,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Sakagami et al., 1974)",,,
Zygonyx natalensis,Zygonyx_natalensis,Yes,,Flier,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Martens, 1991)",,,
Argyrothemis argentea,Argyrothemis_argentea,Yes,Exophytic,,Contact,25,,,,,,,,,,"de Rescende et. al., 2021",,,,
Cacoides latro,Cacoides_latro,Yes,Epiphytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Dasythemis esmeralda,Dasythemis_esmeralda,No,Exophytic,,Contact,9,,,,,,,,,,"de Rescende et. al., 2021",,,,
Diastatops obscura,Diastatops_obscura,Yes,Epiphytic,,Contact,114,,,,,,,,,,"de Rescende et. al., 2021",,,,
Elasmothemis cannacrioides,Elasmothemis_cannacrioides,Yes,Epiphytic,,Contact,10,,,,,,,,,,"de Rescende et. al., 2021",,,,
Elasmothemis williamsoni,Elasmothemis_williamsoni,Yes,Exophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythemis credula,Erythemis_credula,No,Exophytic,,No,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythemis haematogastra,Erythemis_haematogastra,Yes,Exophytic,,No,7,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythemis vesiculosa,Erythemis_vesiculosa,Yes,Epiphytic,,No,6,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythrodiplax amazonica,Erythrodiplax_amazonica,Yes,Exophytic,,Contact,24,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythrodiplax avittata,Erythrodiplax_avittata,Yes,Exophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythrodiplax basalis,Erythrodiplax_basalis,Yes,Exophytic,,Contact,294,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythrodiplax castanea,Erythrodiplax_castanea,Yes,Exophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythrodiplax fusca,Erythrodiplax_fusca,Yes,Exophytic,,Contact,200,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythrodiplax juliana,Erythrodiplax_juliana,Yes,Exophytic,,Contact,12,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythrodiplax ochracea,Erythrodiplax_ochracea,Yes,Exophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Erythrodiplax paraguayensis,Erythrodiplax_paraguayensis,Yes,Exophytic,,Contact,3,,,,,,,,,,"de Rescende et. al., 2021",,,,
Fylgia amazonica,Fylgia_amazonica,Yes,Exophytic,,Contact,6,,,,,,,,,,"de Rescende et. al., 2021",,,,
Macrothemis ludia,Macrothemis_ludia,Yes,Exophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Miathyria marcella,Miathyria_marcella,No,Exophytic,,No,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Miathyria simplex,Miathyria_simplex,Yes,Exophytic,,No,3,,,,,,,,,,"de Rescende et. al., 2021",,,,
Micrathyria aequalis,Micrathyria_aequalis,Yes,Exophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Micrathyria artemis,Micrathyria_artemis,Yes,Exophytic,,Contact,12,,,,,,,,,,"de Rescende et. al., 2021",,,,
Micrathyria eximia,Micrathyria_eximia,Yes,Exophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Micrathyria hesperis,Micrathyria_hesperis,Yes,Exophytic,,No,4,,,,,,,,,,"de Rescende et. al., 2021",,,,
Micrathyria pseudeximia,Micrathyria_pseudeximia,No,Exophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Micrathyria romani,Micrathyria_romani,Yes,Exophytic,,Contact,9,,,,,,,,,,"de Rescende et. al., 2021",,,,
Micrathyria ungulata,Micrathyria_ungulata,Yes,Epiphytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Nephepeltia berlai,Nephepeltia_berlai,Yes,Exophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Nephepeltia flavifrons,Nephepeltia_flavifrons,Yes,Exophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Oligoclada abbreviata,Oligoclada_abbreviata,Yes,Exophytic,,Contact,58,,,,,,,,,,"de Rescende et. al., 2021",,,,
Oligoclada amphinome,Oligoclada_amphinome,Yes,Exophytic,,Contact,21,,,,,,,,,,"de Rescende et. al., 2021",,,,
Oligoclada crocogaster,Oligoclada_crocogaster,Yes,Exophytic,,Contact,4,,,,,,,,,,"de Rescende et. al., 2021",,,,
Oligoclada stenoptera,Oligoclada_stenoptera,Yes,Exophytic,,Contact,3,,,,,,,,,,"de Rescende et. al., 2021",,,,
Oligoclada walkeri,Oligoclada_walkeri,Yes,Exophytic,,Contact,77,,,,,,,,,,"de Rescende et. al., 2021",,,,
Oligoclada xanthopleura,Oligoclada_xanthopleura,Yes,Exophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Orthemis biolleyi,Orthemis_biolleyi,Yes,Exophytic,,Contact,3,,,,,,,,,,"de Rescende et. al., 2021",,,,
Orthemis discolor,Orthemis_discolor,Yes,Exophytic,,Contact,60,,,,,,,,,,"de Rescende et. al., 2021",,,,
Perithemis cornelia,Perithemis_cornelia,Yes,Exophytic,,Contact,3,,,,,,,,,,"de Rescende et. al., 2021",,,,
Perithemis lais,Perithemis_lais,Yes,Exophytic,,Contact,61,,,,,,,,,,"de Rescende et. al., 2021",,,,
Phyllocycla bartica,Phyllocycla_bartica,No,Epiphytic,,No,3,,,,,,,,,,"de Rescende et. al., 2021",,,,
Phyllogomphoides cepheus,Phyllogomphoides_cepheus,No,Epiphytic,,No,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Progomphus intricatus,Progomphus_intricatus,No,Epiphytic,,No,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Progomphus maculatus,Progomphus_maculatus,No,Epiphytic,,No,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Rhodopygia cardinalis,Rhodopygia_cardinalis,No,Exophytic,,Contact,9,,,,,,,,,,"de Rescende et. al., 2021",,,,
Zenithoptera fasciata,Zenithoptera_fasciata,Yes,Exophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Zenithoptera lanei,Zenithoptera_lanei,Yes,Exophytic,,No,42,,,,,,,,,,"de Rescende et. al., 2021",,,,
Zenithoptera viola,Zenithoptera_viola,Yes,Exophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Zonophora calippus,Zonophora_calippus,No,Epiphytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Acanthagrion adustum,Acanthagrion_adustum,No,Endophytic,,Contact,26,,,,,,,,,,"de Rescende et. al., 2021",,,,
Acanthagrion aepiolum,Acanthagrion_aepiolum,No,Epiphytic,,Contact,6,,,,,,,,,,"de Rescende et. al., 2021",,,,
Acanthagrion apical,Acanthagrion_apical,No,Endophytic,,Contact,11,,,,,,,,,,"de Rescende et. al., 2021",,,,
Acanthagrion ascendens,Acanthagrion_ascendens,No,Endophytic,,Contact,7,,,,,,,,,,"de Rescende et. al., 2021",,,,
Acanthagrion jessei,Acanthagrion_jessei,No,Endophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Acanthagrion kennedii,Acanthagrion_kennedii,No,Endophytic,,Contact,21,,,,,,,,,,"de Rescende et. al., 2021",,,,
Acanthallagma luteum,Acanthallagma_luteum,No,Endophytic,,Contact,11,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia chapadae,Argia_chapadae,Yes,Epiphytic,,Contact,3,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia euphorbia,Argia_euphorbia,Yes,Endophytic,,Contact,8,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia insipida,Argia_insipida,Yes,Endophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia fumigata,Argia_fumigata,Yes,Endophytic,,Contact,12,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia infumata,Argia_infumata,Yes,Endophytic,,Contact,100,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia mollis,Argia_mollis,No,Epiphytic,,Contact,4,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia oculata,Argia_oculata,Yes,Endophytic,,Contact,44,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia reclusa,Argia_reclusa,Yes,Endophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia smithiana,Argia_smithiana,Yes,Epiphytic,,Contact,11,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia tinctipennis,Argia_tinctipennis,Yes,Endophytic,,Contact,105,,,,,,,,,,"de Rescende et. al., 2021",,,,
Argia tupi,Argia_tupi,No,Endophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Chalcopteryx radians,Chalcopteryx_radians,Yes,Endophytic,,Contact,74,,,,,,,,,,"de Rescende et. al., 2021",,,,
Chalcopteryx rutilans,Chalcopteryx_rutilans,Yes,Endophytic,,Contact,143,,,,,,,,,,"de Rescende et. al., 2021",,,,
Dicterias atrosanguinea,Dicterias_atrosanguinea,Yes,Epiphytic,,Contact,33,,,,,,,,,,"de Rescende et. al., 2021",,,,
Epipleoneura capilliformis,Epipleoneura_capilliformis,No,Endophytic,,Contact,123,,,,,,,,,,"de Rescende et. al., 2021",,,,
Epipleoneura fuscaenea,Epipleoneura_fuscaenea,No,Endophytic,,Contact,5,,,,,,,,,,"de Rescende et. al., 2021",,,,
Epipleoneura haroldoi,Epipleoneura_haroldoi,No,Endophytic,,Contact,29,,,,,,,,,,"de Rescende et. al., 2021",,,,
Epipleoneura metallica,Epipleoneura_metallica,No,Epiphytic,,Contact,158,,,,,,,,,,"de Rescende et. al., 2021",,,,
Epipleoneura pereirai,Epipleoneura_pereirai,No,Endophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Epipleoneura spatulata,Epipleoneura_spatulata,No,Endophytic,,Contact,17,,,,,,,,,,"de Rescende et. al., 2021",,,,
Epipleoneura westfalli,Epipleoneura_westfalli,No,Endophytic,,Contact,8,,,,,,,,,,"de Rescende et. al., 2021",,,,
Heliocharis amazona,Heliocharis_amazona,Yes,Epiphytic,,Contact,19,,,,,,,,,,"de Rescende et. al., 2021",,,,
Hetaerina auripennis,Hetaerina_auripennis,Yes,Endophytic,,Contact,38,,,,,,,,,,"de Rescende et. al., 2021",,,,
Hetaerina indeprensa,Hetaerina_indeprensa,Yes,Endophytic,,Contact,125,,,,,,,,,,"de Rescende et. al., 2021",,,,
Hetaerina sanguinea,Hetaerina_sanguinea,Yes,Endophytic,,Contact,10,,,,,,,,,,"de Rescende et. al., 2021",,,,
Heteragrion aurantiacum,Heteragrion_aurantiacum,No,Endophytic,,Contact,52,,,,,,,,,,"de Rescende et. al., 2021",,,,
Heteragrion icterops,Heteragrion_icterops,Yes,Endophytic,,Contact,18,,,,,,,,,,"de Rescende et. al., 2021",,,,
Ischnura capreolus,Ischnura_capreolus,No,Epiphytic,,No,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Mnesarete aenea,Mnesarete_aenea,Yes,Epiphytic,,Contact,261,,,,,,,,,,"de Rescende et. al., 2021",,,,
Mnesarete cupraea,Mnesarete_cupraea,Yes,Epiphytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Mnesarete smaragdina,Mnesarete_smaragdina,Yes,Epiphytic,,Contact,114,,,,,,,,,,"de Rescende et. al., 2021",,,,
Mnesarete williamsoni,Mnesarete_williamsoni,Yes,Epiphytic,,Contact,88,,,,,,,,,,"de Rescende et. al., 2021",,,,
Neoneura denticulata,Neoneura_denticulata,No,Endophytic,,Contact,9,,,,,,,,,,"de Rescende et. al., 2021",,,,
Neoneura bilinearis,Neoneura_bilinearis,No,Endophytic,,Contact,1,,,,,,,,,,"de Rescende et. al., 2021",,,,
Neoneura joana,Neoneura_joana,No,Endophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Neoneura luzmarina,Neoneura_luzmarina,No,Endophytic,,Contact,57,,,,,,,,,,"de Rescende et. al., 2021",,,,
Neoneura rubriventris,Neoneura_rubriventris,No,Endophytic,,Contact,23,,,,,,,,,,"de Rescende et. al., 2021",,,,
Oxystigma petiolatum,Oxystigma_petiolatum,No,Endophytic,,Contact,25,,,,,,,,,,"de Rescende et. al., 2021",,,,
Perilestes kahli,Perilestes_kahli,No,Endophytic,,Contact,12,,,,,,,,,,"de Rescende et. al., 2021",,,,
Perilestes solutus,Perilestes_solutus,No,Endophytic,,Contact,2,,,,,,,,,,"de Rescende et. al., 2021",,,,
Phasmoneura exigua,Phasmoneura_exigua,No,Endophytic,,Contact,32,,,,,,,,,,"de Rescende et. al., 2021",,,,
Psaironeura tenuissima,Psaironeura_tenuissima,No,Endophytic,,Contact,47,,,,,,,,,,"de Rescende et. al., 2021",,,,
Protoneura tenuis,Protoneura_tenuis,Yes,Endophytic,,Contact,63,,,,,,,,,,"de Rescende et. al., 2021",,,,
Telebasis sanguinalis,Telebasis_sanguinalis,No,Endophytic,,Contact,3,,,,,,,,,,"de Rescende et. al., 2021",,,,
Tigriagrion aurantinigrum,Tigriagrion_aurantinigrum,Yes,Endophytic,,No,26,,,,,,,,,,"de Rescende et. al., 2021",,,,
Aeshna subarctica,Aeshna_subarctica,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005",Clausen pers. comm.,,,
Aeshna grandis,Aeshna_grandis,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Anax imperator,Anax_imperator,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,
Gomphus vulgatissimus,Gomphus_vulgatissimus,No,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Onychogomphus uncatus,Onychogomphus_uncatus,No,,,,,,,,,,,,,,"Johansson et. al., 2005","(Suhling, 1995)",,,
Somatochlora metallica,Somatochlora_metallica,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Cordulia aenea,Cordulia_aenea,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Libelulla quadrimaculata,Libelulla_quadrimaculata,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Leucorrhinia albifrons,Leucorrhinia_albifrons,No,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Leucorhinia dubia,Leucorhinia_dubia,No,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Leucorrhinia rubicunda,Leucorrhinia_rubicunda,No,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Orthetrum cancellatum,Orthetrum_cancellatum,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,
Sympetrum danae,Sympetrum_danae,No,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Sympetrum sanguineum,Sympetrum_sanguineum,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,
Sympetrum vulgatum,Sympetrum_vulgatum,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,
Coenagrion hastulatum,Coenagrion_hastulatum,No,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Coenagrion johanssoni,Coenagrion_johanssoni,No,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Erythromma najas,Erythromma_najas,No,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,
Pyrrhosoma nymphula,Pyrrhosoma_nymphula,Yes,,,,,,,,,,,,,,"Johansson et. al., 2005","(Gribbin & Thompson, 1991)",,,
Lestes sponsa,Lestes_sponsa,No,,,,,,,,,,,,,,"Johansson et. al., 2005","Belgium, Stoks, pers. comm.",,,
Chalcolestes viridis,Chalcolestes_viridis,No,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,
Aeshna grandis,Aeshna_grandis,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Johansson et al., 2005)","Natural History Museum, Odonata collection, UK",,
Anaciaeschna isosceles,Anaciaeschna_isosceles,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,
Anax imperator,Anax_imperator,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Azpilicueta-Amorín, M. unpubl. data","(Cordero-Rivera, 1988)",,
Anotogaster sieboldii,Anotogaster_sieboldii,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Tsubaki et al., 1997)",,
Archineura incarnata,Archineura_incarnata,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Argia plana,Argia_plana,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Argia sedula,Argia_sedula,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Atrocalopteryx atrata,Atrocalopteryx_atrata,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Boyeria irene,Boyeria_irene,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Ocharán, 1987)",,,
Brachytron pratense,Brachytron_pratense,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Brooks & Lewington, 2004)","(Ocharán, 1987)",,
Calopteryx aequabilis,Calopteryx_aequabilis,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Calopteryx amata,Calopteryx_amata,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Calopteryx cornelia,Calopteryx_cornelia,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Calopteryx exul,Calopteryx_exul,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(D’Aguilar & Dommanget, 1998)","Natural History Museum, Odonata collection, UK",,
Calopteryx haemorrhoidalis,Calopteryx_haemorrhoidalis,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Córdoba-Aguilar, 2002)","Natural History Museum, Odonata collection, UK",,
Calopteryx japonica,Calopteryx_japonica,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Watanabe et al., 1998)",,
Calopteryx maculata,Calopteryx_maculata,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,
Calopteryx splendens,Calopteryx_splendens,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","K. Tynkkynen, pers. comm.",,
Calopteryx virgo,Calopteryx_virgo,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","K. Tynkkynen, pers. comm.",,
Calopteryx xanthostoma,Calopteryx_xanthostoma,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","A. Córdoba-Aguilar, pers.obs.","Natural History Museum, Odonata collection, UK",,
Celithemis eponina,Celithemis_eponina,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Chlorocypha curta,Chlorocypha_curta,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Cordulegaster boltonii,Cordulegaster_boltonii,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","(Ocharán, 1987)",,
Crocothemis erythraea,Crocothemis_erythraea,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Azpilicueta-Amorín, M. unpubl. data","(Brooks & Lewington, 2004)",,
Dromogomphus spinosus,Dromogomphus_spinosus,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,
Echo modesta,Echo_modesta,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Enallagma antennatum,Enallagma_antennatum,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,
Enallagma aspersum,Enallagma_aspersum,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,
Enallagma boreale,Enallagma_boreale,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",
Enallagma carunculatum,Enallagma_carunculatum,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Enallagma civile,Enallagma_civile,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Corbet, 1999)",,
Enallagma clausum,Enallagma_clausum,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Enallagma cyathigerum,Enallagma_cyathigerum,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,
Enallagma ebrium,Enallagma_ebrium,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,
Enallagma exsulans,Enallagma_exsulans,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Walker, 1958)",,
Enallagma hageni,Enallagma_hageni,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,
Enallagma praevarum,Enallagma_praevarum,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Erythemis simplicicollis,Erythemis_simplicicollis,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(McVey, 1988)",,
Gomphus exilis,Gomphus_exilis,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,
Gomphus externus,Gomphus_externus,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Gomphus graslinii,Gomphus_graslinii,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Hetaerina americana,Hetaerina_americana,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Serrano-Meneses et al., 2007)",,,
Hetaerina titia,Hetaerina_titia,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","A. Córdoba-Aguilar, pers.obs.","Natural History Museum, Odonata collection, UK",,
Iridictyon myersi,Iridictyon_myersi,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Silsby & Parr, 2001)",,
Ischnura cervula,Ischnura_cervula,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",
Ischnura denticollis,Ischnura_denticollis,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,
Ischnura erratica,Ischnura_erratica,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Ischnura perparva,Ischnura_perparva,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",
Ischnura posita,Ischnura_posita,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","A. Córdoba-Aguilar, pers.obs.",,
Ischnura ramburii,Ischnura_ramburii,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Dunkle, 1989)",,
Ischnura verticalis,Ischnura_verticalis,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Fincke, 1987)","Natural History Museum, Odonata collection, UK",,
Ladona deplanata,Ladona_deplanata,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,
Ladona depressa,Ladona_depressa,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Ladona exusta,Ladona_exusta,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 1989)","Natural History Museum, Odonata collection, UK",,
Ladona fulva,Ladona_fulva,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,
Ladona julia,Ladona_julia,Yes,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Lestes disjunctus,Lestes_disjunctus,No,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,
