Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Prodasineura collaris,Prodasineura_collaris,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Furtado, 1975)",,,
Pseudagrion decorum,Pseudagrion_decorum,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Corbet, 1999)",,,
Pseudagrion hageni,Pseudagrion_hageni,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Meskin, 1986)",,,
Pseudagrion microcephalum,Pseudagrion_microcephalum,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Furtado, 1972)",,,
Pseudoagrion perfuscatum,Pseudoagrion_perfuscatum,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(J. I. Furtado, 1972)",,,
Rhinocypha biseriata,Rhinocypha_biseriata,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Orr, 1996)",,,
Rhinocypha humeralis,Rhinocypha_humeralis,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Orr, 1996)",,,
Rhinocypha stygia,Rhinocypha_stygia,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Orr, 1996)",,,
Rhinocypha uenoi,Rhinocypha_uenoi,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Ubukata, 1985)",,,
Rhinoneura villosipes,Rhinoneura_villosipes,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Orr, 1996)",,,
Somatochlora clavata,Somatochlora_clavata,Yes,,Flier,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Taketo, 1960)",,,
Somatochlora flavomaculata,Somatochlora_flavomaculata,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Wildermuth, 1998)",,,
Somatochlora viridiaenea,Somatochlora_viridiaenea,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Ubukata, 1979)",,,
Sympetrum parvulum,Sympetrum_parvulum,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Uéda, 1979)",,,
