Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition type (endophytic vs exophytic),Oviposition substrate,Oviposition,Number of oviposition sites,Lotic vs lentic (breeding habitat),Habitat breadth,Flier vs percher,Mate guarding,Agonistic display,Courtship,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Female has wing pigment,Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Aeshna mixta,Aeshna_mixta,Aeshna_mixta,Anisoptera,Aeshnidae,,,,,,,,,,,,,,,,,,,,,Widespread,Yes,LC,,,Endophytic,,,,lentic/lotic,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Late July,Late July,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Anax imperator,Anax_imperator,Anax_imperator,Anisoptera,Aeshnidae,,,,,,,,,,,,,,,,,,,,,Widespread,No,LC,,,Endophytic,,,,lentic,5,,,,,,,,,,,,,,,,,,,,,,,,,,,June,June,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Hammond, 1983)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(d’Aguilar et al., 1986)","(Corbet & Brooks, 2008)"
Brachytron pratense,Brachytron_pratense,Brachytron_pratense,Anisoptera,Aeshnidae,,,,,,,,,,,,,,,,,,,,,Local,No,LC,,,Endophytic,,,,lentic,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Early May,Early May,2,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,Zygoptera,Calopterygidae,,,,,,,,,,,,,,,,,,,,,Widespread,No,LC,,,Endophytic,,,,lotic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,4,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Hammond, 1983)","(Corbet & Brooks, 2008)"
Calopteryx virgo,Calopteryx_virgo,Calopteryx_virgo,Zygoptera,Calopterygidae,,,,,,,,,,,,,,,,,,,,,Widespread,No,LC,,,Endophytic,,,,lotic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Late May,Late May,3.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Hammond, 1983)","(Corbet & Brooks, 2008)"
Ceriagrion tenellum,Ceriagrion_tenellum,Ceriagrion_tenellum,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Scarce,No,LC,,,Endophytic,,,,lentic/lotic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Early June,Early June,3,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Coenagrion hastulatum,Coenagrion_hastulatum,Coenagrion_hastulatum,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Very rare,No,EN,,,Endophytic,,,,lentic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Shirt, 1987)","(Corbet & Brooks, 2008)"
Coenagrion lunulatum,Coenagrion_lunulatum,Coenagrion_lunulatum,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Rare,No,NA,,,Endophytic,,,,lentic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Hammond, 1983)","(Corbet & Brooks, 2008)"
Coenagrion mercuriale,Coenagrion_mercuriale,Coenagrion_mercuriale,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Rare,No,EN,,,Endophytic,,,,lotic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Coenagrion puella,Coenagrion_puella,Coenagrion_puella,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Very widespread,No,LC,,,Endophytic,,,,lentic,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,3.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Coenagrion pulchellum,Coenagrion_pulchellum,Coenagrion_pulchellum,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Local,No,NT,,,Endophytic,,,,lentic/lotic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,3,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Coenagrion scitulum,Coenagrion_scitulum,Coenagrion_scitulum,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Very rare,No,NA,,,Endophytic,,,,lentic/lotic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Late May,Late May,2,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)",,"(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Cordulegaster boltonii,Cordulegaster_boltonii,Cordulegaster_boltonii,Anisoptera,Cordulegastridae,,,,,,,,,,,,,,,,,,,,,Widespread,No,LC,,,Endophytic,,,,lotic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Late May,Late May,3.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Cordulia aenea,Cordulia_aenea,Cordulia_aenea,Anisoptera,Corduliidae,,,,,,,,,,,,,,,,,,,,,Scarce,No,LC,,,Exophytic,,,,lentic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,2,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Enallagma cyathigerum,Enallagma_cyathigerum,Enallagma_cyathigerum,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Very widespread,No,LC,,,Endophytic,,,,lentic/lotic,5,,,,,,,,,,,,,,,,,,,,,,,,,,,May,May,3.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Erythromma najas,Erythromma_najas,Erythromma_najas,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Local,No,LC,,,Endophytic,,,,lentic/lotic,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,3,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Erythromma viridulum,Erythromma_viridulum,Erythromma_viridulum,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Local,No,NA,,,Endophytic,,,,lentic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,June,June,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(d’Aguilar et al., 1986)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)",,"(Corbet & Brooks, 2008)","(Smallshire & Swash, 2010)","(d’Aguilar et al., 1986)"
Gomphus vulgatissimus,Gomphus_vulgatissimus,Gomphus_vulgatissimus,Anisoptera,Gomphidae,,,,,,,,,,,,,,,,,,,,,Rare,No,NT,,,Exophytic,,,,lotic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Early May,Early May,2,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Ischnura elegans,Ischnura_elegans,Ischnura_elegans,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Very widespread,No,LC,,,Endophytic,,,,lentic,5,,,,,,,,,,,,,,,,,,,,,,,,,,,May,May,4,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Ischnura pumilio,Ischnura_pumilio,Ischnura_pumilio,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Scarce,No,NT,,,Endophytic,,,,lentic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Late May,Late May,3,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Lestes barbarus,Lestes_barbarus,Lestes_barbarus,Zygoptera,Lestidae,,,,,,,,,,,,,,,,,,,,,Very rare,Yes,LC,,,Endophytic,,,,lentic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,End May,End May,4,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(d’Aguilar et al., 1986)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Brooks & Lewington, 2007)"
Lestes dryas,Lestes_dryas,Lestes_dryas,Zygoptera,Lestidae,,,,,,,,,,,,,,,,,,,,,Rare,No,NT,,,Endophytic,,,,lentic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Late June,Late June,2,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Shirt, 1987)","(Corbet & Brooks, 2008)"
Lestes sponsa,Lestes_sponsa,Lestes_sponsa,Zygoptera,Lestidae,,,,,,,,,,,,,,,,,,,,,Very widespread,No,LC,,,Endophytic,,,,lentic,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Late June,Late June,3,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Hammond, 1983)","(Corbet & Brooks, 2008)"
Chalcolestes viridis,Chalcolestes_viridis,Chalcolestes_viridis,Zygoptera,Lestidae,,,,,,,,,,,,,,,,,,,,,Very rare,Yes,NA,,,Endophytic,,,,lentic/lotic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,June,June,5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)",,"(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Leucorrhinia dubia,Leucorrhinia_dubia,Leucorrhinia_dubia,Anisoptera,Libellulidae,,,,,,,,,,,,,,,,,,,,,Rare,No,EN,,,Exophytic,,,,lentic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Hammond, 1983)","(Corbet & Brooks, 2008)"
Libellula depressa,Libellula_depressa,Libellula_depressa,Anisoptera,Libellulidae,,,,,,,,,,,,,,,,,,,,,Local,No,LC,,,Exophytic,,,,lentic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Hammond, 1983)","(Corbet & Brooks, 2008)"
Libellula fulva,Libellula_fulva,Libellula_fulva,Anisoptera,Libellulidae,,,,,,,,,,,,,,,,,,,,,Rare,No,NT,,,Exophytic,,,,lentic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Late May,Late May,2,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Libellula quadrimaculata,Libellula_quadrimaculata,Libellula_quadrimaculata,Anisoptera,Libellulidae,,,,,,,,,,,,,,,,,,,,,Very widespread,Yes,LC,,,Exophytic,,,,lentic/lotic,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Late May,Late May,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Orthetrum cancellatum,Orthetrum_cancellatum,Orthetrum_cancellatum,Anisoptera,Libellulidae,,,,,,,,,,,,,,,,,,,,,Local,No,LC,,,Exophytic,,,,lentic/lotic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Late May,Late May,2,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Orthetrum coerulescens,Orthetrum_coerulescens,Orthetrum_coerulescens,Anisoptera,Libellulidae,,,,,,,,,,,,,,,,,,,,,Local,No,LC,,,Exophytic,,,,lotic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Early June,Early June,3,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Platycnemis pennipes,Platycnemis_pennipes,Platycnemis_pennipes,Zygoptera,Platycnemis,,,,,,,,,,,,,,,,,,,,,Scarce,No,LC,,,Endophytic,,,,lotic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Late May,Late May,2.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Hammond, 1983)","(Corbet & Brooks, 2008)"
Pyrrhosoma nymphula,Pyrrhosoma_nymphula,Pyrrhosoma_nymphula,Zygoptera,Coenagrionidae,,,,,,,,,,,,,,,,,,,,,Very widespread,No,LC,,,Endophytic,,,,lentic,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid May,Mid May,1.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Somatochlora arctica,Somatochlora_arctica,Somatochlora_arctica,Anisoptera,Corduliidae,,,,,,,,,,,,,,,,,,,,,Rare,No,NT,,,Exophytic,,,,lentic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Late May,Late May,4,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Hammond, 1983)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Hammond, 1983)","(Corbet & Brooks, 2008)"
Somatochlora metallica,Somatochlora_metallica,Somatochlora_metallica,Anisoptera,Corduliidae,,,,,,,,,,,,,,,,,,,,,Rare,No,VU,,,Exophytic,,,,lentic/lotic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Late June,Late June,1.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Sympetrum danae,Sympetrum_danae,Sympetrum_danae,Anisoptera,Libellulidae,,,,,,,,,,,,,,,,,,,,,Widespread,Yes,LC,,,Exophytic,,,,lentic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid July,Mid July,2,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Sympetrum sanguineum,Sympetrum_sanguineum,Sympetrum_sanguineum,Anisoptera,Libellulidae,,,,,,,,,,,,,,,,,,,,,Widespread,No,LC,,,Exophytic,,,,lentic,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Late June,Late June,3.5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Powell, 1999)","(Corbet & Brooks, 2008)"
Sympetrum striolatum,Sympetrum_striolatum,Sympetrum_striolatum,Anisoptera,Libellulidae,,,,,,,,,,,,,,,,,,,,,Very widespread,Yes,LC,,,Exophytic,,,,lentic/lotic,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid June,Mid June,5,"(Powney et al., 2014)",,,,,"(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Brooks & Lewington, 2007)","(Daguet et al., 2008)","(Corbet & Brooks, 2008)","(Brooks & Lewington, 2007)","(Corbet & Brooks, 2008)"
Megaloprepus caerulatus,Megaloprepus_caerulatus,Megaloprepus_caerulatus,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Xu & Fincke, 2022)",,,,,,,,,,,,,
Psolodesmus mandarinus,Psolodesmus_mandarinus,Psolodesmus_mandarinus,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percher,Non-contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Batucan et al., 2021)",,,,,,,,,,,,,
Psolodesmus mandarinus,Psolodesmus_mandarinus,Psolodesmus_mandarinus,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Epiphytic,Submerged vegetation,,,,,Percher,Non-contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Batucan et al., 2021)",,,,,,,,,,,,,
Mnesarete pudica,Mnesarete_pudica,Mnesarete_pudica,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Cezário et al., 2022)",,,,,,,,,,,,,
Disparocypha biedermanni,Disparocypha_biedermanni,Disparocypha_biedermanni,Anisoptera,Chlorocyphidae,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Moss covered bark of tree,,Multiple,,,Percher,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"(Pestana et al., 2021)",,,,,,,,,,,,,
Mesamphiagrion laterale,Mesamphiagrion_laterale,Mesamphiagrion_laterale,Zygoptera,Coenagrionidae,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,,Tandem,,,,Percher,Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Palacino-Rodríguez et al., 2020)",,,,,,,,,,,,,
Zenithoptera lanei,Zenithoptera_lanei,Zenithoptera_lanei,Anisoptera,Libellulidae,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"(Valdivia et al., 2020)",,,,,,,,,,,,,
Pachydiplax longipennis,Pachydiplax_longipennis,Pachydiplax_longipennis,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late June,Late July,1,"(Lis et al., 2020)",,,,,,,,,,,,,
Xanthagrion erythroneurum,Xanthagrion_erythroneurum,Xanthagrion_erythroneurum,Anisoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Khan & Herberstein, 2020)",,,,,,,,,,,,,
Hetaerina aurora,Hetaerina_aurora,Hetaerina_aurora,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percher,Non-contact,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"(Gabela-Flores et al., 2019)",,,,,,,,,,,,,
Hetaerina caja,Hetaerina_caja,Hetaerina_caja,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percher,Non-contact,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"(Gabela-Flores et al., 2019)",,,,,,,,,,,,,
Hetaerina fuscoguttata,Hetaerina_fuscoguttata,Hetaerina_fuscoguttata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percher,Non-contact,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"(Gabela-Flores et al., 2019)",,,,,,,,,,,,,
Megalagrion xanthomelas,Megalagrion_xanthomelas,Megalagrion_xanthomelas,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Schröder et al., 2018)",,,,,,,,,,,,,
Hetaerina longipes,Hetaerina_longipes,Hetaerina_longipes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percher,Non-contact,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"(Pestana et al., 2018)",,,,,,,,,,,,,
Argia extranea,Argia_extranea,Argia_extranea,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Argia oenea,Argia_oenea,Argia_oenea,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Argia tezpi,Argia_tezpi,Argia_tezpi,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Argia anceps,Argia_anceps,Argia_anceps,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Argia garrisoni,Argia_garrisoni,Argia_garrisoni,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
